ID,Name,Glottocode,Glottolog_Name,ISO639P3code
Angas,Angas,ngas1240,,anc
Ankwe,Ankwe,goem1240,,ank
Bacama,Bacama,baca1246,,bcy
Bade,Bade,bade1248,,bde
Banana,Banana,masa1322,,mcn
Bananamouseye,Banana (Mouseye),muse1242,,mse
Bankala,Bankala,,,jjr
Boka,Boka,boga1251,,bvw
Bolewa,Bole(wa),nucl1695,,bol
Buli,Buli,polc1243,,plj
Bura,Bura,bura1292,,bwr
Burma,Burma,bogh1241,,bux
Cibak,Cibak,ciba1236,,ckl
Cip,Cip,mish1244,,mjs
Daba,Daba,nucl1683,,dbq
Dera,Dera,dera1248,,kna
Dira,Dira,diri1259,,dwa
Dwot,Dwot,dass1243,,dot
English,English,stan1293,,eng
Faligili,Fali Gili,bana1305,,bcw
Falijilbu,Fali Jilbu,zizi1238,,ziz
Falikiria,Fali Kiria,kiry1234,,fkk
Falimucella,Fali Mucella,gude1246,,gde
Faliwagira,Fali Ɓwagira,fali1285,,fli
Gaanda,Ga?anda,gaan1243,,gqa
Gava,Gava,gudu1252,,gdf
Geji,Geji,geji1246,,gji
Gera,Gera,gera1246,,gew
Gude,Gude,gude1246,,gde
Gudu,Gudu,gudu1250,,gdu
Gabin,Gábin,gaan1243,,gqa
Glvda,Gələvda,glav1244,,glw
Hausa,Hausa,haus1257,,hau
Higibaza,Higi Baza,kamw1239,,hig
Higifutu,Higi Futu,kamw1239,,hig
Higighye,Higi Ghye,hyaa1239,,hya
Higikamale,Higi Kamale,psik1239,,kvj
Higinkafa,Higi Nkafa,kamw1239,,hig
Hildi,Hildi,marg1266,,mfm
Hwona,Hwona,hwan1240,,hwo
Jaku,Jaku,labi1245,,jku
Jari,Jari,daga1272,,dgd
Karekare,Karekare,kare1348,,kai
Kilba,Kilba,huba1236,,hbb
Lame,Lame,lame1257,,bma
Lamepeve,Lame (Peve),peve1243,,lme
Mandara,Mandara,wand1278,,mfi
Margi,Margi,marg1265,,mrt
Massa,Massa,masa1322,,mcn
Matakam,Matakam,mafa1239,,maf
Mismezime,Misme (Zime),mesm1239,,zim
Miya,Miya,miya1266,,mkf
Mwulyen,Mwulyen,bata1314,,bta
Nakatsa,Nakatsa,cine1238,,cie
Ngamo,Ngamo,ngam1282,,nbh
Ngizim,Ngizim,ngiz1242,,ngi
Ngwaxi,Ngwaxi,nggw1242,,ngx
Njanye,Njanye,nzan1240,,nja
Pero,Pero,pero1241,,pip
Piimdi,Piðimdi,tera1251,,ttr
Plci,Pəlci,polc1243,,plj
Seya,Seya,saya1246,,say
Sura,Sura,mwag1236,,sur
Tangale,Tangale,nucl1696,,tan
Wamdiu,Wamdiu,marg1266,,mfm
Westmargi,West Margi,puta1243,,mfl
Yingilum,Yingilum,nort2770,,fll
Zvana,Zə̀ɣvana,dghw1239,,dgh
